director_name;gender;movies_nb;fidelity_rel;fidelity_abs
Paul McGuigan;2;8;1.1;9
Robert Rodriguez;2;33;1.2;40
Timo Mugele;2;1;0.0;0
Christian Petzold;2.0;12;2.8;33
Jean-Jacques Annaud;2.0;13;0.8;10
David Carson;2.0;8;0.0;0
Jean-Pierre Jeunet;2.0;12;1.8;22
Ernst Lubitsch;2.0;69;2.4;169
Mel Gibson;2.0;5;0.4;2
Jonathan Frakes;2.0;7;1.7;12
Stuart Baird;2.0;3;0.0;0
Henri-Georges Clouzot;2.0;15;1.5;22
Terry George;2.0;8;0.8;6
Mario Andreacchio;2.0;9;0.4;4
Peter Weir;2.0;19;1.4;27
Hannes Stöhr;2.0;5;0.8;4
Frank Capra;2;52;2.0;103
Alfred Hitchcock;2.0;60;2.5;149
Darren Lynn Bousman;2.0;11;1.5;17
Rainer Werner Fassbinder;2.0;40;3.3;132
James Cameron;2.0;17;3.0;51
Elia Kazan;2.0;20;1.8;35
Nicholas Ray;2;25;1.4;34
Walter Ruttmann;2.0;17;0.1;2
Andrzej Wajda;2.0;43;1.7;71
Kimberly Peirce;2;3;0.0;0
Josef von Sternberg;2.0;30;1.3;38
James Whale;2.0;21;2.5;52
Stephen Gaghan;2.0;6;0.0;0
Philip Kaufman;2.0;13;0.9;12
Robert Wiene;2.0;48;1.9;93
Rob Reiner;2.0;21;2.2;46
P.J. Hogan;2.0;8;0.5;4
David Mackenzie;2.0;13;0.8;11
Billy Wilder;2;27;2.3;62
Oliver Stone;2.0;30;2.0;61
Stephen Frears;2;45;1.3;60
Merian C. Cooper;2.0;5;0.4;2
Chris Weitz;2;6;0.3;2
Takeshi Kitano;2.0;18;1.8;33
Danny DeVito;2.0;9;0.6;5
Lasse Spang Olsen;2;9;2.4;22
Jerry Zucker;2.0;4;1.0;4
Mel Stuart;2.0;14;0.6;8
Guy Hamilton;2.0;23;2.0;47
Roman Polanski;2.0;33;1.3;42
Richard Brooks;2.0;25;1.4;35
Jean-Luc Godard;2.0;110;0.8;92
Tage Danielsson;2;11;3.1;34
Hans Weingartner;2.0;5;1.2;6
Jonathan Demme;2.0;35;1.2;43
Len Wiseman;2.0;4;3.8;15
Frank Darabont;2.0;6;0.7;4
Miloš Forman;2.0;13;1.5;20
Kathryn Bigelow;1.0;15;0.7;10
Ron Shelton;2.0;10;1.8;18
Fred Zinnemann;2;31;0.8;26
Michael Curtiz;2;115;3.4;391
Stacy Peralta;2.0;7;2.1;15
Robert Redford;2.0;9;0.0;0
Donna Deitch;1.0;12;0.5;6
Jonathan Mostow;2.0;7;0.3;2
Howard Hawks;2;41;2.5;103
François Ozon;2.0;29;1.7;49
John Landis;2.0;26;1.7;44
Roberto Rossellini;2.0;39;1.3;52
Jim Jarmusch;2;19;1.9;36
Thomas Vinterberg;2.0;12;2.3;28
Tom Shadyac;2.0;9;1.8;16
Sergio Leone;2.0;7;2.3;16
Caroline Link;1.0;5;1.6;8
Marc Evans;2.0;12;0.2;3
Pitof;2.0;3;0.0;0
Russ Meyer;2;28;1.2;34
Andreas Dresen;2.0;20;1.7;34
